transaction_id,account_id,amount,currency,description,transaction_date,timestamp,transaction_type,category,merchant_name
141573e65c810fe52e51b0e96a11394a,56c7b029e0f8ec5a2334fb0ffc2fface,82.21,GBP,CIRCLE UK TRADING,2026-02-18,2026-02-18T00:00:00Z,CREDIT,Uncategorized,
ed2242006e1fa4768453d2a9cb9b8ab1,56c7b029e0f8ec5a2334fb0ffc2fface,137.6,GBP,MR JOHN SMITH,2026-02-17,2026-02-17T00:00:00Z,CREDIT,Transfers,
7d53252ec28b45a11302a0116786251b,56c7b029e0f8ec5a2334fb0ffc2fface,-12.73,GBP,AA INSURANCE,2026-02-17,2026-02-17T00:00:00Z,DEBIT,Insurance,
e13112dd96bde5ba4d06bd6672f8e4e7,56c7b029e0f8ec5a2334fb0ffc2fface,-40.0,GBP,AXA WEALTH LTD,2026-02-17,2026-02-17T00:00:00Z,DEBIT,Insurance,
86f42ed306850d8306409bf04e238bff,56c7b029e0f8ec5a2334fb0ffc2fface,-20.0,GBP,MORRISONS PETROL,2026-02-17,2026-02-17T00:00:00Z,DEBIT,Transport,
10b42bfa5649fbb5ee671d63dd39c4ae,56c7b029e0f8ec5a2334fb0ffc2fface,-0.63,GBP,SAVE THE CHANGE,2026-02-17,2026-02-17T00:00:00Z,DEBIT,Savings,
faa19baa7ed58148232cee2742dabfa6,56c7b029e0f8ec5a2334fb0ffc2fface,-6.37,GBP,TAILSCOM,2026-02-17,2026-02-17T00:00:00Z,DEBIT,Uncategorized,
d8ee0f40dbdcae526ba596fc1638560a,56c7b029e0f8ec5a2334fb0ffc2fface,-32.0,GBP,ASDA STOES LTD,2026-02-15,2026-02-15T00:00:00Z,DEBIT,Groceries,
1b03db8e5d42c0e0ab775c7915379a08,56c7b029e0f8ec5a2334fb0ffc2fface,-0.55,GBP,SAVE THE CHANGE,2026-02-15,2026-02-15T00:00:00Z,DEBIT,Savings,
d938f749454516f5d3bee8d95b1987aa,56c7b029e0f8ec5a2334fb0ffc2fface,-15.45,GBP,AMAZON BLACK FRIDAY,2026-02-15,2026-02-15T00:00:00Z,DEBIT,Shopping,
028427cc9a3767a712c65bee32dd0263,56c7b029e0f8ec5a2334fb0ffc2fface,-0.5,GBP,SAVE THE CHANGE,2026-02-15,2026-02-15T00:00:00Z,DEBIT,Savings,
fb21ae4cec1a628e2314a2d5cfd85f27,56c7b029e0f8ec5a2334fb0ffc2fface,-3.59,GBP,TESCO EXTRA,2026-02-15,2026-02-15T00:00:00Z,DEBIT,Groceries,
5927c43c96dd0486f5ac12b51223adbe,56c7b029e0f8ec5a2334fb0ffc2fface,-10.0,GBP,PAYPAL EBAY,2026-02-15,2026-02-15T00:00:00Z,DEBIT,Shopping,
3a548de4211a4f68bf58ac0b9f33088c,56c7b029e0f8ec5a2334fb0ffc2fface,-2.0,GBP,PAYPAL BETFRED,2026-02-14,2026-02-14T00:00:00Z,DEBIT,Entertainment,
b50cfd1f10939f449054c156636e4c48,56c7b029e0f8ec5a2334fb0ffc2fface,-20.5,GBP,MT SECURETRADE LIM,2026-02-14,2026-02-14T00:00:00Z,DEBIT,Uncategorized,
83183082fd81064bb4763ef6a6961e98,56c7b029e0f8ec5a2334fb0ffc2fface,43.5,GBP,MT SECURETRADE LIM,2026-02-14,2026-02-14T00:00:00Z,CREDIT,Uncategorized,
